id,carat,cut,color,clarity,depth,table,x,y,z,price
93,0.31,Ideal,H,VVS2,62.5,55.0,4.34,4.37,2.72,625
94,1.04,Ideal,F,SI1,61.3,56.0,6.51,6.55,4.0,5495
95,0.33,Ideal,G,VS2,61.2,55.0,4.49,4.46,2.74,743
96,0.91,Premium,G,SI1,62.6,58.0,6.14,6.17,3.85,4045
97,0.4,Premium,E,VS2,62.5,58.0,4.65,4.73,2.93,912
98,0.52,Very Good,G,VS2,63.2,58.0,5.12,5.1,3.23,1577
99,0.51,Good,E,SI1,63.5,54.0,5.07,5.1,3.23,1343
100,0.71,Good,E,SI1,63.8,54.0,5.66,5.72,3.63,2606
101,1.01,Premium,F,SI1,59.1,59.0,6.56,6.5,3.86,4989
102,1.21,Premium,I,SI2,62.7,55.0,6.84,6.79,4.27,5184
103,1.01,Very Good,F,SI2,62.3,59.0,6.31,6.37,3.95,4384
104,0.37,Very Good,H,VVS2,62.2,59.0,4.54,4.56,2.83,746
105,1.02,Very Good,F,VS1,63.6,60.0,6.25,6.33,4.0,7682
106,1.01,Premium,G,VS2,62.6,56.0,6.41,6.34,3.99,5713
107,0.23,Good,E,VVS1,59.9,65.0,3.93,3.95,2.36,439
108,0.6,Fair,F,SI1,55.3,63.0,5.67,5.61,3.12,1367
109,0.4,Ideal,F,IF,61.9,54.0,4.75,4.81,2.96,1406
110,0.5,Very Good,F,IF,59.7,60.0,5.18,5.24,3.11,2219
111,0.41,Ideal,J,IF,62.1,54.0,4.78,4.81,2.98,777
112,1.02,Premium,I,SI1,61.7,58.0,6.48,6.45,3.99,4113
113,0.5,Very Good,D,VS2,62.8,58.0,5.05,5.08,3.18,1752
114,0.61,Very Good,E,VS1,61.1,58.0,5.47,5.52,3.36,2243
115,0.7,Ideal,E,VS2,62.6,55.0,5.66,5.68,3.55,3268
116,0.32,Premium,E,VS1,62.0,58.0,4.35,4.29,2.68,1008
117,0.75,Ideal,E,VS2,61.6,57.0,5.84,5.81,3.59,2940
118,0.25,Premium,E,VVS2,61.5,59.0,4.04,4.02,2.48,740
119,1.56,Good,I,SI2,58.5,61.0,7.58,7.63,4.45,8048
120,0.44,Ideal,E,SI1,61.1,56.0,4.9,4.92,3.0,810
121,0.91,Very Good,E,VS1,61.9,59.0,6.17,6.23,3.84,5259
122,1.25,Very Good,G,VVS1,60.6,60.0,6.92,6.95,4.2,10962
123,0.73,Very Good,D,SI1,63.6,57.0,5.68,5.71,3.62,2548
124,1.23,Premium,F,VS1,60.8,58.0,6.94,6.9,4.21,9471
125,0.42,Ideal,H,SI1,61.7,55.0,4.84,4.85,2.99,885
126,0.7,Very Good,H,VS2,62.7,59.0,5.59,5.64,3.52,2377
127,1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
128,0.33,Ideal,E,VVS2,61.0,54.0,4.52,4.49,2.75,950
129,0.37,Ideal,D,VS2,61.4,55.0,4.64,4.67,2.86,1003
130,0.4,Ideal,H,VVS2,60.8,55.0,4.82,4.79,2.92,1125
131,0.56,Ideal,I,VVS1,62.0,56.0,5.29,5.26,3.27,1698
132,0.92,Premium,E,SI1,62.2,58.0,6.18,6.23,3.86,4562
133,1.47,Fair,H,I1,66.7,59.0,6.98,6.94,4.64,4898
134,0.31,Ideal,F,VVS1,62.0,54.0,4.34,4.37,2.7,840
135,1.13,Ideal,E,VVS2,61.4,57.0,6.69,6.74,4.12,11115
136,1.23,Good,I,SI1,60.7,61.0,6.91,6.93,4.2,6165
137,0.56,Ideal,D,VS2,61.5,57.0,5.28,5.33,3.26,1963
138,1.5,Very Good,D,SI1,61.0,59.0,7.33,7.39,4.49,12179
139,0.9,Good,H,SI2,63.6,60.0,6.06,6.11,3.87,3250
140,0.3,Premium,E,VS2,60.4,58.0,4.34,4.3,2.61,844
141,1.26,Fair,I,SI2,64.8,57.0,6.73,6.69,4.35,4551
142,0.9,Ideal,H,VS1,62.2,56.0,6.16,6.18,3.84,5222
143,1.53,Very Good,H,SI1,60.4,60.0,7.39,7.44,4.48,9332
144,0.72,Ideal,I,VS1,61.7,54.5,5.77,5.8,3.57,2430
145,0.41,Premium,E,SI1,60.1,60.0,4.83,4.79,2.89,969
146,0.32,Premium,G,VS1,61.2,62.0,4.45,4.41,2.71,773
147,0.3,Ideal,G,VS1,61.8,57.0,4.29,4.32,2.66,624
148,0.92,Very Good,H,VS1,59.7,63.0,6.34,6.29,3.77,4721
149,0.31,Premium,E,VS2,61.0,59.0,4.35,4.37,2.66,680
150,0.5,Fair,G,VVS2,62.9,67.0,5.02,4.96,3.14,1791
151,0.6,Premium,H,SI1,58.9,61.0,5.54,5.5,3.25,1341
152,0.5,Good,F,SI1,63.1,61.0,5.06,4.98,3.17,1043
153,2.01,Good,I,SI2,64.6,57.0,7.82,7.88,5.07,12681
154,0.35,Ideal,F,VS2,61.4,54.0,4.54,4.58,2.8,706
155,0.5,Ideal,E,SI1,62.4,56.0,5.03,5.07,3.15,1259
156,0.57,Very Good,F,VVS2,63.2,56.0,5.28,5.32,3.35,1902
157,0.91,Premium,G,SI1,58.0,59.0,6.45,6.38,3.72,3392
158,1.33,Premium,H,SI2,61.0,59.0,7.1,7.06,4.32,5437
159,0.33,Ideal,E,VS2,62.1,56.0,4.4,4.45,2.75,723
160,0.55,Ideal,F,VVS2,62.4,55.0,5.24,5.28,3.28,2242
161,0.27,Ideal,H,VVS2,61.9,55.0,4.14,4.16,2.57,496
162,0.4,Premium,F,VS1,60.3,60.0,4.77,4.81,2.89,982
163,0.39,Ideal,D,SI2,61.6,56.0,4.69,4.72,2.9,651
164,1.54,Very Good,F,VS2,60.8,58.0,7.43,7.56,4.56,13735
165,0.55,Premium,F,VS1,60.3,58.0,5.32,5.29,3.2,1832
166,0.63,Good,F,SI2,64.2,56.0,5.4,5.34,3.45,1240
167,0.51,Premium,G,VS2,62.4,57.0,5.11,5.09,3.18,1546
168,0.4,Ideal,F,VVS2,61.1,57.0,4.8,4.73,2.91,1039
169,0.9,Good,F,SI1,57.6,60.0,6.34,6.37,3.66,3950
170,1.0,Premium,F,SI1,60.3,61.0,6.43,6.38,3.86,4704
171,0.41,Premium,F,SI1,59.8,59.0,4.85,4.82,2.89,969
172,0.59,Ideal,J,VS1,58.7,56.0,5.52,5.48,3.23,1330
173,0.32,Premium,G,VVS2,61.7,59.0,4.41,4.37,2.71,936
174,1.0,Ideal,F,SI1,62.0,57.0,6.43,6.37,3.97,5292
175,0.42,Very Good,H,VVS1,60.9,62.0,4.8,4.86,2.94,1026
176,1.01,Ideal,F,SI2,62.7,57.0,6.36,6.39,4.0,4843
177,0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,4540
178,1.65,Very Good,H,VS1,62.0,58.0,7.56,7.66,4.72,12773
179,0.34,Ideal,G,VS2,62.5,57.0,4.5,4.46,2.8,765
180,0.78,Very Good,H,VS1,61.7,56.0,5.92,5.94,3.66,2947
181,1.01,Premium,F,SI1,58.5,60.0,6.6,6.57,3.85,4989
182,0.5,Ideal,E,SI1,61.2,56.0,5.12,5.15,3.14,1555
183,1.53,Very Good,G,VS1,61.9,57.0,7.39,7.32,4.55,16219
184,0.9,Ideal,F,VS2,60.5,54.0,6.22,6.17,3.75,4531
185,1.25,Premium,J,SI1,62.0,61.0,6.86,6.84,4.25,4200
186,0.69,Fair,G,VS1,61.2,65.4,5.58,5.64,3.42,2235
187,1.06,Ideal,D,VVS2,61.1,56.0,6.58,6.59,4.02,11209
188,0.38,Premium,I,VS1,61.3,60.0,4.62,4.65,2.84,700
189,0.5,Very Good,G,SI1,60.6,56.0,5.13,5.16,3.12,1202
190,0.5,Good,D,SI2,57.1,63.0,5.23,5.27,3.0,1141
191,0.51,Ideal,G,VS2,62.4,56.0,5.11,5.14,3.2,1438
192,0.7,Good,F,SI1,59.7,64.0,5.71,5.74,3.42,2337
193,1.31,Ideal,H,SI2,62.3,56.0,7.0,6.97,4.35,6225
194,0.4,Ideal,E,SI2,62.1,53.0,4.75,4.78,2.96,629
195,0.53,Very Good,G,SI1,61.0,55.0,5.21,5.32,3.21,1219
196,0.35,Ideal,I,VVS2,61.5,55.0,4.56,4.58,2.81,598
197,1.05,Premium,F,SI1,61.8,56.0,6.55,6.45,4.02,5557
198,0.7,Very Good,D,VS2,60.7,58.0,5.7,5.73,3.47,3092
199,0.43,Ideal,H,VVS1,61.7,56.0,4.86,4.9,3.01,987
200,0.56,Ideal,E,SI1,60.9,56.0,5.32,5.35,3.25,1580
201,0.32,Premium,F,SI2,59.7,59.0,4.43,4.48,2.66,421
202,2.16,Very Good,F,SI2,62.4,59.0,8.28,8.33,5.18,18678
203,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2668
204,0.97,Premium,H,SI1,58.0,62.0,6.56,6.48,3.79,3911
205,1.08,Ideal,G,VS2,62.5,57.0,6.56,6.6,4.11,6561
206,1.02,Very Good,J,SI1,63.1,60.0,6.35,6.4,4.02,3879
207,1.03,Premium,I,SI1,61.0,58.0,6.52,6.47,3.96,4038
208,0.55,Ideal,F,VS2,61.2,55.0,5.28,5.3,3.24,1580
209,0.51,Good,F,VS2,63.1,59.0,5.04,5.1,3.2,1444
210,2.01,Premium,H,VS2,62.6,58.0,8.03,7.94,5.0,15395
211,1.13,Ideal,H,SI1,61.9,60.0,6.63,6.65,4.11,5911
212,0.3,Ideal,F,VS1,61.3,55.0,4.32,4.36,2.66,570
213,2.1,Very Good,J,VS2,61.5,60.7,8.16,8.21,5.03,13340
214,0.42,Ideal,H,VVS2,62.4,56.0,4.78,4.8,2.99,921
215,1.4,Premium,G,SI1,62.5,58.0,7.12,7.06,4.43,8511
216,1.2,Very Good,H,SI1,60.8,58.0,6.8,6.85,4.15,6077
217,0.8,Premium,F,SI2,58.5,62.0,6.08,6.05,3.55,2371
218,0.29,Ideal,G,VS1,62.2,54.0,4.23,4.26,2.64,507
219,1.11,Very Good,I,SI2,62.5,58.0,6.59,6.65,4.14,4442
220,0.81,Premium,D,VS1,62.3,58.0,6.0,5.94,3.72,4209
221,1.12,Very Good,G,SI1,62.5,58.0,6.6,6.64,4.14,5088
222,0.3,Ideal,D,VVS2,61.4,55.0,4.34,4.36,2.67,1041
223,0.36,Very Good,E,SI1,62.4,55.0,4.52,4.55,2.83,631
224,0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55,2657
225,1.51,Good,F,SI1,60.9,61.0,7.3,7.32,4.45,11560
226,0.32,Ideal,F,VVS1,60.7,56.0,4.45,4.43,2.7,905
227,0.31,Ideal,D,VS2,61.8,56.0,4.32,4.36,2.68,734
228,0.29,Ideal,G,VVS2,60.7,54.0,4.33,4.37,2.64,607
229,0.4,Very Good,D,VS2,62.3,58.0,4.69,4.72,2.93,746
230,0.35,Ideal,I,SI1,61.3,54.0,4.56,4.51,2.78,606
231,1.01,Premium,F,SI1,60.6,58.0,6.54,6.49,3.95,5559
232,0.46,Very Good,D,VVS1,62.2,56.0,4.94,4.97,3.08,1778
233,1.27,Premium,J,VS1,62.6,59.0,6.92,6.88,4.32,5618
234,1.1,Premium,H,SI2,58.9,57.0,6.86,6.82,4.03,4497
235,0.57,Premium,F,SI1,59.5,58.0,5.43,5.36,3.21,1571
236,0.38,Very Good,D,VS2,60.9,58.0,4.63,4.67,2.83,933
237,0.31,Ideal,H,IF,61.8,56.0,4.36,4.38,2.7,816
238,0.53,Very Good,G,VVS2,60.5,59.0,5.24,5.29,3.19,1724
239,0.3,Premium,F,VS2,62.5,58.0,4.29,4.32,2.69,605
240,1.17,Ideal,F,VVS1,62.1,57.0,6.82,6.73,4.21,11886
241,0.56,Very Good,H,SI1,61.2,57.0,5.28,5.31,3.24,1179
242,0.54,Premium,D,SI1,60.0,58.0,5.3,5.26,3.17,1667
243,0.7,Very Good,E,VVS1,61.6,61.0,5.7,5.73,3.52,4171
244,0.7,Very Good,D,SI1,62.4,57.0,5.64,5.67,3.53,3075
245,0.5,Premium,E,VS2,62.7,54.0,5.1,5.07,3.19,1746
246,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,2404
247,0.55,Premium,D,SI1,62.7,59.0,5.25,5.22,3.28,1698
248,0.7,Very Good,F,VS2,60.5,57.0,5.74,5.79,3.49,2400
249,1.14,Very Good,D,SI1,62.7,59.0,6.64,6.67,4.17,6464
250,1.5,Good,H,SI1,64.3,60.0,7.14,7.23,4.62,9768
251,1.25,Premium,H,SI1,62.2,57.0,6.91,6.85,4.28,6783
252,0.41,Premium,E,VS1,60.1,58.0,4.81,4.84,2.9,1079
253,0.5,Very Good,E,SI2,63.1,58.0,5.09,5.05,3.2,1181
254,0.4,Ideal,F,VS2,61.9,55.0,4.77,4.73,2.94,975
255,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2259
256,1.53,Very Good,J,VS1,59.5,60.0,7.55,7.65,4.52,7677
257,0.59,Fair,H,SI2,64.5,57.0,5.37,5.16,3.42,1059
258,0.41,Ideal,E,VS1,62.1,56.0,4.75,4.78,2.96,1079
259,2.0,Ideal,H,SI1,61.8,57.0,8.1,8.15,5.02,18062
260,0.43,Very Good,G,VVS2,60.2,56.0,4.95,4.97,2.99,976
261,1.51,Premium,F,SI1,62.2,59.0,7.34,7.3,4.55,11607
262,0.39,Premium,J,VS1,61.6,59.0,4.71,4.67,2.89,790
263,0.8,Ideal,H,VS2,60.6,56.0,6.03,6.08,3.67,3153
264,0.5,Very Good,G,VVS1,61.3,57.0,5.15,5.07,3.13,1940
265,0.8,Ideal,D,VVS2,61.9,56.0,5.91,5.95,3.67,6004
266,0.26,Ideal,H,IF,61.1,57.0,4.16,4.12,2.53,600
267,0.74,Ideal,G,SI2,61.7,56.0,5.8,5.87,3.6,2690
268,0.31,Ideal,D,VS2,61.7,55.0,4.35,4.4,2.7,734
269,0.38,Ideal,E,VS1,61.7,53.0,4.69,4.71,2.9,905
270,1.02,Premium,E,VVS1,61.5,59.0,6.41,6.46,3.96,11062
271,0.32,Ideal,G,VS2,59.8,57.0,4.43,4.46,2.66,561
272,1.73,Ideal,J,SI1,62.6,57.0,7.69,7.65,4.8,6927
273,1.01,Good,E,SI1,63.4,60.0,6.3,6.34,4.01,5132
274,0.31,Premium,H,VVS2,62.6,60.0,4.29,4.33,2.7,625
275,0.31,Fair,G,VS1,64.6,55.0,4.31,4.26,2.77,695
276,1.01,Good,E,SI2,63.7,55.0,6.38,6.31,4.05,4118
277,0.91,Fair,D,VS2,65.7,58.0,6.04,5.99,3.95,4107
278,1.34,Ideal,H,VS2,60.2,56.0,7.23,7.18,4.34,7429
279,0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68,2832
280,0.56,Ideal,E,VS2,61.5,57.0,5.27,5.3,3.25,1819
281,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2817
282,1.66,Good,G,VS2,63.2,56.0,7.49,7.61,4.77,15091
283,0.54,Premium,D,VVS1,61.4,57.5,5.25,5.28,3.23,3194
284,0.46,Ideal,H,VS2,61.5,55.0,4.98,5.01,3.07,1252
285,0.3,Ideal,F,IF,61.8,58.0,4.27,4.3,2.65,886
286,0.61,Ideal,F,VS1,61.9,57.0,5.42,5.46,3.37,2246
287,1.02,Very Good,F,SI2,59.6,59.0,6.51,6.54,3.89,3974
288,0.4,Premium,E,VS2,59.3,59.0,4.77,4.81,2.84,912
289,0.32,Very Good,I,SI2,63.4,56.0,4.37,4.34,2.76,480
290,0.9,Very Good,E,SI1,61.8,60.0,6.14,6.2,3.81,4054
291,0.51,Ideal,H,SI2,61.8,53.0,5.14,5.18,3.19,983
292,1.51,Very Good,I,VS1,61.8,63.0,7.34,7.28,4.52,9640
293,0.91,Very Good,H,VS2,63.1,59.0,6.16,6.13,3.88,3853
294,0.41,Ideal,G,IF,62.1,57.0,4.77,4.76,2.96,1336
295,1.03,Premium,H,VS2,61.0,58.0,6.53,6.46,3.96,5579
296,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,3803
297,0.31,Premium,D,VS1,59.7,58.0,4.4,4.45,2.64,788
298,1.01,Ideal,F,VS2,60.3,56.0,6.5,6.56,3.94,6672
299,0.71,Ideal,I,VVS2,60.4,57.0,5.78,5.81,3.5,3007
300,0.5,Premium,F,VVS1,61.1,55.0,5.15,5.13,3.14,2081
301,0.35,Premium,G,VS1,62.3,59.0,4.49,4.53,2.81,706
302,0.33,Good,E,SI1,63.8,55.0,4.36,4.38,2.79,579
303,1.01,Premium,G,VS1,62.6,59.0,6.38,6.43,4.01,6499
304,0.58,Ideal,G,VVS1,61.3,56.0,5.36,5.4,3.3,2256
305,0.53,Ideal,F,VS2,61.7,57.0,5.23,5.21,3.22,1832
306,1.09,Ideal,F,IF,61.4,55.0,6.61,6.68,4.09,11846
307,1.51,Good,H,SI1,62.2,61.0,7.25,7.32,4.53,8854
308,1.01,Premium,D,VS2,60.0,59.0,6.53,6.48,3.9,7508
309,0.27,Very Good,D,VS2,62.0,57.0,4.11,4.15,2.56,470
310,0.33,Ideal,H,SI2,61.4,56.0,4.85,4.79,2.95,554
311,0.32,Very Good,I,SI1,61.6,61.0,4.36,4.4,2.7,421
312,0.92,Very Good,J,VS2,60.9,62.0,6.26,6.31,3.83,3146
313,0.32,Premium,J,VS2,61.9,58.0,4.38,4.35,2.7,504
314,1.2,Very Good,H,SI2,58.8,61.0,6.94,6.98,4.09,5211
315,1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951
316,0.7,Fair,G,VS2,64.4,56.0,5.64,5.57,3.61,2657
317,0.54,Ideal,F,VS2,62.3,56.0,5.2,5.17,3.23,1786
318,1.01,Good,G,VS2,63.9,54.0,6.37,6.31,4.05,5701
319,0.9,Good,G,SI1,63.2,59.0,6.05,6.1,3.84,3734
320,0.57,Ideal,E,SI1,61.9,56.0,5.33,5.3,3.29,1613
321,0.23,Good,E,VVS1,62.8,62.0,3.9,3.93,2.46,462
322,1.13,Ideal,F,VS2,60.1,56.0,6.76,6.84,4.09,8157
323,1.1,Very Good,E,SI2,60.1,62.0,6.65,6.69,4.01,4607
324,0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,3952
325,0.72,Ideal,J,SI2,61.7,55.0,5.77,5.81,3.57,1926
326,0.31,Very Good,I,VVS2,62.2,57.0,4.34,4.37,2.71,544
327,0.7,Very Good,F,VS2,61.7,57.0,5.71,5.74,3.54,2559
328,0.5,Very Good,E,VS2,63.6,59.0,4.99,5.04,3.19,1446
329,1.01,Good,G,VS2,63.6,60.0,6.35,6.3,4.02,5701
330,1.58,Very Good,I,SI1,63.1,55.0,7.42,7.45,4.69,8782
331,1.67,Premium,H,SI2,61.6,57.0,7.66,7.61,4.7,9625
332,1.52,Very Good,G,VS2,62.8,54.0,7.26,7.36,4.59,12359
333,0.76,Very Good,H,SI1,63.0,58.0,5.78,5.8,3.65,2593
334,1.52,Fair,D,SI2,56.3,61.0,7.7,7.62,4.31,7702
335,0.31,Good,G,VS2,63.6,56.0,4.29,4.26,2.72,698
336,0.3,Ideal,G,VS2,61.2,55.0,4.35,4.38,2.67,545
337,0.49,Good,F,VS1,58.9,60.5,5.17,5.21,3.05,1430
338,0.36,Good,F,VS1,63.6,60.0,4.52,4.47,2.86,945
339,0.9,Ideal,F,SI1,61.8,57.0,6.19,6.21,3.83,3950
340,0.5,Fair,F,I1,68.3,58.0,4.91,4.78,3.32,627
341,0.65,Very Good,G,VS2,63.2,57.0,5.54,5.47,3.48,2009
342,1.51,Good,F,SI1,64.2,57.0,7.09,7.2,4.59,10514
343,0.38,Very Good,E,IF,62.5,59.0,4.61,4.64,2.89,1409
344,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1814
345,0.41,Good,J,VS2,64.3,55.0,4.66,4.7,3.01,606
346,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,13333
347,0.6,Ideal,D,SI1,61.7,56.0,5.39,5.44,3.34,2263
348,0.51,Premium,E,SI2,60.3,56.0,5.22,5.19,3.14,1205
349,0.42,Ideal,G,VS1,61.9,56.0,4.77,4.82,2.97,921
350,0.74,Very Good,E,SI1,60.0,57.0,5.85,5.89,3.52,2839
351,0.32,Ideal,H,VS2,62.8,55.0,4.41,4.38,2.76,648
352,1.16,Ideal,J,SI1,60.7,57.0,6.77,6.83,4.13,3955
353,1.02,Ideal,F,VS2,62.7,57.0,6.44,6.47,4.05,6614
