id,carat,cut,color,clarity,depth,table,x,y,z
65,0.36,Ideal,E,VS2,60.8,56.0,4.64,4.6,2.81
66,2.01,Premium,J,SI1,60.9,58.0,8.15,8.07,4.94
67,1.01,Very Good,G,IF,63.0,60.0,6.31,6.35,3.99
68,0.53,Premium,E,VVS2,62.4,56.0,5.19,5.17,3.23
69,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66
70,1.01,Premium,G,VS1,59.9,59.0,6.48,6.51,3.89
71,0.72,Very Good,F,VS1,63.2,57.0,5.69,5.73,3.61
72,0.5,Good,D,VS2,63.7,56.0,5.09,5.05,3.23
73,0.35,Premium,F,VS2,62.1,60.0,4.51,4.45,2.78
74,0.56,Ideal,E,VS2,61.7,54.0,5.35,5.28,3.28
75,0.4,Premium,F,VVS2,60.8,59.0,4.73,4.71,2.87
76,0.4,Premium,F,SI1,62.3,60.0,4.7,4.74,2.94
77,0.41,Very Good,H,VVS1,61.4,60.0,4.73,4.78,2.92
78,1.5,Premium,I,VS2,62.5,59.0,7.3,7.26,4.55
79,1.52,Premium,G,VVS1,60.4,59.0,7.38,7.48,4.49
80,1.0,Fair,D,SI2,66.5,59.0,6.24,6.21,4.14
81,0.52,Very Good,G,SI1,60.6,61.0,5.17,5.19,3.14
82,0.5,Fair,H,SI1,62.3,60.0,5.09,5.06,3.16
83,0.55,Ideal,E,VS1,62.2,55.0,5.22,5.26,3.26
84,0.57,Ideal,E,VS2,61.8,55.0,5.34,5.38,3.31
85,0.3,Premium,H,VS2,62.2,59.0,4.28,4.31,2.67
86,0.5,Ideal,H,IF,62.4,54.0,5.1,5.13,3.19
87,0.36,Ideal,G,VVS1,62.1,56.0,4.6,4.58,2.85
88,0.7,Very Good,E,VS1,60.7,57.0,5.72,5.75,3.48
89,0.94,Ideal,F,I1,61.5,55.0,6.34,6.37,3.91
90,0.71,Very Good,D,SI2,60.2,58.0,5.76,5.8,3.48
91,0.55,Ideal,D,VS2,61.8,54.0,5.29,5.26,3.26
92,2.14,Premium,G,SI2,60.4,59.0,8.38,8.32,5.04
93,0.63,Ideal,E,VS2,61.5,56.0,5.48,5.54,3.39
94,0.3,Very Good,G,VVS1,61.9,55.0,4.31,4.32,2.67
95,0.51,Premium,G,SI1,60.9,58.0,5.21,5.14,3.15
96,1.01,Very Good,F,SI1,63.1,59.0,6.3,6.37,4.0
97,0.23,Ideal,E,VS1,61.5,54.0,3.96,3.97,2.44
98,0.41,Ideal,J,VS2,62.2,54.4,4.72,4.75,2.95
99,1.01,Premium,F,VS2,62.4,58.0,6.43,6.36,3.99
100,0.41,Premium,I,VVS1,61.9,57.0,4.82,4.78,2.97
101,1.4,Ideal,H,VS2,63.0,56.0,7.13,7.07,4.47
102,0.3,Premium,E,VS2,61.8,58.0,4.36,4.31,2.68
103,0.9,Premium,I,SI1,62.1,59.0,6.2,6.17,3.84
104,1.22,Premium,G,SI2,60.2,58.0,6.92,6.9,4.16
105,0.52,Premium,F,SI1,61.1,59.0,5.21,5.17,3.17
106,0.72,Very Good,J,VS1,62.7,58.0,5.67,5.72,3.57
107,1.15,Very Good,G,SI1,61.3,62.0,6.68,6.72,4.11
108,1.32,Ideal,I,VS2,60.8,57.0,7.02,7.07,4.28
109,0.9,Premium,F,SI2,61.5,59.0,6.23,6.2,3.82
110,1.01,Ideal,H,SI2,61.7,56.0,6.47,6.43,3.98
111,1.59,Premium,E,VS1,61.2,58.0,7.58,7.49,4.61
112,0.4,Premium,G,VVS2,62.7,59.0,4.69,4.72,2.95
113,1.0,Premium,D,SI2,59.5,62.0,6.52,6.49,3.87
114,0.77,Ideal,E,VVS1,61.6,55.0,5.87,5.95,3.64
115,2.01,Fair,H,SI2,66.7,56.0,7.8,7.76,5.19
116,0.32,Ideal,G,VS1,61.9,55.0,4.42,4.4,2.73
117,0.5,Ideal,F,VS2,62.5,57.0,5.07,5.11,3.18
118,0.37,Ideal,I,VVS2,61.9,54.0,4.62,4.66,2.87
119,0.9,Good,I,SI2,62.2,59.0,6.07,6.11,3.79
120,0.71,Good,I,SI1,63.6,63.0,5.61,5.64,3.58
121,0.3,Premium,D,SI1,62.7,60.0,4.23,4.26,2.66
122,1.51,Very Good,E,VS2,63.3,61.0,7.24,7.17,4.56
123,1.03,Very Good,F,VS1,60.2,55.0,6.62,6.56,3.97
124,1.21,Good,E,SI1,64.2,58.0,6.65,6.59,4.25
125,0.54,Ideal,F,SI1,61.3,55.0,5.23,5.27,3.22
126,0.33,Ideal,G,IF,61.8,55.0,4.45,4.48,2.76
127,1.51,Fair,G,SI2,65.5,55.0,7.14,7.08,4.66
128,0.86,Premium,F,SI1,62.6,58.0,6.01,6.06,3.78
129,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72
130,0.3,Premium,H,VVS1,62.3,58.0,4.29,4.32,2.68
131,1.01,Ideal,D,VS2,60.6,57.0,6.54,6.46,3.94
132,1.22,Premium,G,VS2,61.2,58.0,6.81,6.91,4.2
133,0.34,Ideal,H,VS1,62.3,55.0,4.48,4.45,2.78
134,0.51,Ideal,D,VS2,61.2,55.0,5.18,5.16,3.16
135,0.52,Ideal,D,SI1,62.2,57.0,5.13,5.16,3.2
136,0.3,Ideal,D,SI1,61.7,56.0,4.35,4.31,2.67
137,1.23,Ideal,F,VS1,61.3,57.0,6.86,6.93,4.23
138,0.55,Very Good,F,SI1,62.9,58.0,5.23,5.26,3.3
139,0.71,Fair,G,VVS1,62.8,57.0,5.67,5.57,3.53
140,0.7,Ideal,H,SI2,61.6,54.0,5.71,5.75,3.53
141,0.58,Ideal,F,VVS2,61.8,56.0,5.37,5.41,3.33
142,0.71,Premium,I,VS1,61.8,58.0,5.76,5.72,3.55
143,1.0,Ideal,G,VVS2,61.2,56.0,6.47,6.5,3.97
144,0.32,Premium,G,VVS2,62.3,58.0,4.38,4.35,2.72
145,0.9,Premium,D,SI1,59.4,62.0,6.24,6.19,3.69
146,2.29,Very Good,I,SI1,61.8,59.0,8.44,8.51,5.24
147,1.12,Ideal,D,VS2,62.0,55.0,6.63,6.66,4.12
148,1.5,Ideal,F,VS2,60.2,55.0,7.45,7.51,4.5
149,0.6,Ideal,G,VS2,62.0,54.0,5.43,5.47,3.38
150,0.72,Ideal,F,VS1,62.4,56.0,5.76,5.72,3.58
151,1.21,Premium,F,SI2,62.4,60.0,6.77,6.73,4.21
152,0.27,Very Good,G,VVS1,61.0,56.0,4.21,4.25,2.57
153,0.31,Ideal,F,VS2,62.3,55.0,4.3,4.33,2.69
154,0.39,Ideal,G,IF,61.7,55.0,4.68,4.72,2.9
155,0.36,Premium,E,VS2,62.0,58.0,4.56,4.54,2.82
156,1.0,Ideal,G,VS2,62.3,56.0,6.43,6.32,3.97
157,0.3,Ideal,F,VVS1,62.1,55.0,4.31,4.32,2.68
158,0.41,Premium,E,VS2,62.1,58.0,4.75,4.78,2.96
159,0.51,Good,D,VS2,63.5,56.0,5.04,5.1,3.22
160,0.4,Ideal,E,VS2,62.6,57.0,4.73,4.7,2.95
161,1.0,Premium,F,SI1,60.8,59.0,6.45,6.41,3.91
162,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79
163,0.73,Ideal,E,SI1,62.7,55.0,5.7,5.79,3.6
164,1.01,Premium,H,SI1,62.9,58.0,6.38,6.34,4.0
165,0.36,Very Good,E,SI1,63.5,58.0,4.46,4.49,2.84
166,1.05,Ideal,H,SI1,60.8,56.0,6.62,6.58,4.01
167,1.14,Very Good,F,I1,61.3,55.8,6.74,6.76,4.13
168,0.31,Ideal,E,SI1,62.7,54.0,4.36,4.35,2.73
169,1.75,Premium,I,VS1,60.6,60.0,7.84,7.8,4.74
170,1.0,Very Good,E,VS2,64.0,59.0,6.22,6.31,4.01
171,1.29,Premium,H,SI1,61.6,57.0,7.02,6.97,4.31
172,0.31,Ideal,E,VVS2,60.8,57.0,4.36,4.39,2.66
173,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42
174,0.9,Very Good,J,VVS1,60.4,60.0,6.23,6.28,3.78
175,0.35,Very Good,E,VVS1,63.0,59.0,4.44,4.48,2.81
176,0.41,Ideal,D,SI2,61.0,56.0,4.78,4.83,2.93
177,0.3,Ideal,G,VVS2,62.6,53.0,4.31,4.35,2.71
178,0.73,Fair,I,I1,66.1,58.0,5.63,5.5,3.68
179,1.01,Premium,F,VS2,62.5,59.0,6.41,6.32,3.98
180,0.41,Premium,G,VVS2,62.2,58.0,4.82,4.76,2.98
181,0.32,Ideal,G,VVS2,62.0,56.0,4.41,4.43,2.74
182,1.02,Good,D,SI1,57.2,54.0,6.66,6.62,3.8
183,1.0,Premium,F,SI1,59.7,60.0,6.48,6.51,3.88
184,0.71,Very Good,F,VS2,63.5,60.0,5.64,5.67,3.59
185,0.71,Ideal,F,SI1,60.8,57.0,5.75,5.8,3.51
186,0.52,Ideal,F,VVS2,61.5,55.0,5.17,5.21,3.19
187,1.5,Fair,E,SI2,65.8,57.0,7.17,7.11,4.7
188,0.53,Premium,D,SI1,61.4,57.0,5.26,5.2,3.21
189,1.09,Premium,G,VVS2,59.5,61.0,6.74,6.7,4.0
190,1.34,Ideal,I,SI2,61.3,55.0,7.16,7.12,4.38
191,1.5,Premium,E,I1,61.5,58.0,7.38,7.2,4.5
192,2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04
193,0.4,Very Good,E,IF,62.9,58.0,4.68,4.77,2.97
194,0.82,Ideal,E,VS1,60.0,55.0,6.18,6.08,3.68
195,2.04,Premium,J,VS1,62.6,58.0,8.11,8.06,5.06
196,0.4,Premium,F,VS2,62.1,58.0,4.76,4.71,2.94
197,0.9,Ideal,F,SI1,62.5,56.0,6.13,6.16,3.84
198,1.08,Ideal,I,SI1,62.1,59.0,6.57,6.53,4.07
199,0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49
200,0.79,Premium,D,SI2,60.0,60.0,6.07,6.03,3.63
201,0.91,Good,E,SI1,63.5,57.0,6.11,6.14,3.89
202,1.74,Premium,J,VS2,61.9,62.0,7.62,7.54,4.7
203,0.31,Good,F,VS2,63.5,55.0,4.31,4.32,2.74
204,2.0,Premium,H,SI1,60.1,61.0,8.13,8.1,4.88
205,0.31,Premium,E,SI1,63.0,59.0,4.31,4.26,2.7
206,1.51,Ideal,I,SI1,62.4,59.0,7.27,7.34,4.56
207,0.75,Premium,H,VS1,61.9,61.0,5.85,5.82,3.61
208,1.56,Premium,G,SI1,58.8,57.0,7.68,7.62,4.5
209,0.5,Good,J,VVS2,64.1,57.0,5.0,4.95,3.19
210,1.01,Very Good,H,VS2,59.7,64.0,6.45,6.48,3.86
211,0.53,Ideal,F,SI1,61.6,54.0,5.23,5.25,3.23
212,0.5,Ideal,H,VS2,61.3,56.0,5.12,5.16,3.15
213,0.93,Premium,G,SI2,60.8,59.0,6.35,6.28,3.84
214,0.33,Ideal,F,VS2,61.3,56.0,4.47,4.43,2.73
215,1.7,Ideal,F,VS2,62.7,55.0,7.54,7.58,4.74
216,1.24,Ideal,H,VS1,62.1,56.0,6.85,6.88,4.26
217,0.43,Very Good,F,SI2,58.3,62.0,4.91,4.97,2.88
218,0.41,Premium,G,VS1,58.9,60.0,4.87,4.84,2.86
219,0.32,Ideal,G,VVS2,61.7,57.0,4.44,4.41,2.73
220,1.24,Ideal,H,VVS1,61.9,55.0,6.85,6.91,4.27
221,1.02,Ideal,E,SI2,61.6,56.0,6.48,6.55,3.99
222,1.22,Premium,I,VS1,60.6,61.0,6.94,6.88,4.19
223,1.0,Good,H,VS2,56.9,63.0,6.6,6.57,3.75
224,0.31,Ideal,G,VVS1,61.3,56.0,4.37,4.41,2.69
225,0.74,Ideal,G,SI1,62.7,56.0,5.78,5.74,3.61
226,1.4,Premium,H,SI1,62.1,60.0,7.21,7.12,4.45
227,0.56,Ideal,E,VVS1,62.1,56.0,5.28,5.29,3.28
228,0.42,Ideal,F,VVS2,61.3,57.0,4.82,4.8,2.95
229,0.51,Ideal,G,VS2,62.9,54.0,5.12,5.08,3.21
230,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75
231,0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56
232,0.83,Ideal,E,VS2,61.8,57.0,6.04,6.03,3.73
233,0.31,Good,D,SI1,63.5,55.0,4.27,4.3,2.72
234,0.62,Premium,G,SI1,59.3,58.0,5.6,5.56,3.31
235,1.02,Ideal,F,SI2,61.3,56.0,6.5,6.48,3.98
236,0.31,Ideal,E,VVS2,60.2,57.0,4.39,4.41,2.65
237,0.53,Ideal,G,SI1,63.0,54.0,5.18,5.14,3.25
238,0.41,Premium,D,SI1,59.6,59.0,4.85,4.82,2.88
239,0.4,Premium,D,VS2,61.7,59.0,4.76,4.73,2.93
240,0.32,Premium,H,VS2,62.7,58.0,4.33,4.35,2.72
241,1.01,Fair,F,VS2,64.5,58.0,6.28,6.18,4.02
242,1.24,Premium,G,VVS2,59.9,60.0,7.0,6.98,4.19
243,0.55,Ideal,E,VS1,61.7,55.0,5.29,5.27,3.26
244,0.72,Premium,I,VS2,60.9,60.0,5.8,5.76,3.52
245,0.51,Good,D,SI2,63.8,56.0,5.07,5.09,3.24
246,0.41,Very Good,D,VS1,62.9,57.0,4.73,4.75,2.98
247,1.01,Very Good,I,SI1,63.4,55.0,6.39,6.35,4.04
248,0.44,Very Good,E,SI1,63.2,53.0,4.87,4.84,3.07
249,1.51,Premium,E,SI2,62.0,62.0,7.16,7.09,4.42
250,0.3,Premium,G,VVS2,61.2,58.0,4.32,4.34,2.65
251,0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0
252,1.26,Ideal,H,VS1,61.5,59.0,6.94,6.91,4.26
253,0.29,Ideal,H,VVS2,61.6,55.0,4.27,4.29,2.64
254,1.27,Premium,G,SI2,62.4,56.0,6.93,6.88,4.32
255,1.0,Ideal,I,VS1,60.4,55.0,6.49,6.52,3.93
256,0.46,Premium,E,VS2,62.2,58.0,4.99,4.95,3.09
257,0.38,Ideal,F,SI1,60.9,55.0,4.7,4.72,2.87
258,0.35,Premium,F,VS2,61.5,59.0,4.53,4.55,2.79
259,0.6,Fair,G,SI1,64.5,56.0,5.27,5.24,3.39
260,0.4,Ideal,F,VVS1,61.7,57.0,4.75,4.72,2.92
261,0.41,Ideal,F,VVS1,60.3,56.0,4.85,4.8,2.91
262,0.3,Ideal,F,VS1,61.8,55.0,4.31,4.33,2.67
263,1.69,Very Good,E,SI2,62.6,59.0,7.53,7.61,4.74
264,1.36,Premium,F,VS2,59.3,60.0,7.23,7.2,4.28
265,0.54,Ideal,F,VS2,61.3,57.0,5.29,5.24,3.23
266,1.0,Premium,E,SI2,62.6,56.0,6.43,6.39,4.01
267,0.32,Premium,G,VS2,61.5,59.0,4.4,4.42,2.71
268,0.53,Fair,E,SI1,56.2,64.0,5.43,5.41,3.05
269,1.06,Ideal,F,SI1,62.1,57.0,6.51,6.53,4.05
270,0.72,Ideal,G,VS2,61.7,55.0,5.72,5.79,3.55
271,0.43,Ideal,E,SI1,61.5,56.0,4.9,4.85,3.0
272,0.71,Very Good,H,VVS2,62.5,56.0,5.65,5.68,3.54
273,1.01,Premium,E,VS2,62.7,57.0,6.36,6.31,3.97
274,1.01,Premium,E,SI1,62.9,60.0,6.43,6.35,4.02
275,0.3,Premium,D,VS2,61.0,58.0,4.34,4.32,2.64
276,1.02,Good,F,VS1,63.7,57.0,6.39,6.35,4.06
277,1.51,Premium,F,VS2,62.0,59.0,7.37,7.18,4.51
278,0.4,Premium,E,VS2,62.2,58.0,4.72,4.67,2.92
279,0.41,Premium,E,SI1,60.5,61.0,4.8,4.78,2.9
280,0.91,Very Good,F,SI1,63.1,60.0,6.13,6.17,3.88
281,0.32,Premium,E,VVS2,61.5,58.0,4.42,4.36,2.7
282,0.43,Good,H,VVS1,61.2,61.0,4.84,4.9,2.98
283,0.38,Ideal,D,VVS2,61.2,57.0,4.66,4.68,2.86
284,1.52,Very Good,F,VS2,63.5,57.0,7.23,7.29,4.61
285,1.5,Very Good,D,SI1,61.0,61.0,7.28,7.32,4.45
286,0.3,Premium,D,VS2,62.0,59.0,4.27,4.22,2.63
287,1.75,Ideal,H,I1,61.6,56.0,7.73,7.75,4.77
288,0.34,Premium,G,VS2,60.3,54.0,4.56,4.53,2.74
289,0.7,Premium,H,SI2,61.0,59.0,5.76,5.71,3.5
290,1.35,Fair,G,SI2,66.0,58.0,6.89,6.81,4.52
291,1.01,Very Good,E,VS2,60.4,57.0,6.45,6.49,3.91
292,1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97
293,1.01,Very Good,F,VS2,61.4,54.0,6.4,6.47,3.95
294,0.3,Ideal,G,IF,62.3,52.8,4.29,4.33,2.69
295,0.92,Very Good,H,VS2,63.1,57.0,6.2,6.17,3.9
296,0.3,Good,G,VVS2,63.8,57.0,4.26,4.24,2.71
297,0.41,Ideal,G,VS1,62.4,57.0,4.75,4.7,2.95
298,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18
299,0.4,Very Good,F,VVS2,62.8,57.0,4.66,4.73,2.95
300,1.28,Premium,G,VS1,60.9,58.0,7.09,7.01,4.29
301,0.9,Good,G,VVS2,62.6,63.0,6.1,6.14,3.83
302,1.22,Premium,G,VS1,61.6,60.0,6.85,6.88,4.23
303,0.5,Good,G,SI1,63.6,55.0,5.03,5.06,3.21
304,1.06,Ideal,G,VVS1,61.6,57.0,6.53,6.55,4.03
305,1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92
306,1.0,Very Good,F,IF,63.9,56.0,6.31,6.34,4.04
307,0.71,Good,G,VVS1,62.7,61.0,5.64,5.68,3.55
308,1.02,Very Good,F,SI1,61.9,58.0,6.43,6.49,4.0
309,0.93,Ideal,E,SI1,62.0,56.0,6.25,6.29,3.89
310,1.07,Premium,F,VS1,62.4,58.0,6.52,6.49,4.06
311,1.5,Good,H,SI2,63.6,58.0,7.15,7.2,4.56
312,0.72,Ideal,I,VS2,60.3,57.0,5.82,5.86,3.52
313,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85
314,1.12,Premium,H,VS1,62.1,58.0,6.6,6.64,4.11
315,0.5,Ideal,H,IF,61.0,56.0,5.15,5.17,3.15
316,0.32,Ideal,E,VVS2,61.2,57.0,4.38,4.41,2.69
317,0.32,Premium,D,VS2,61.7,58.0,4.38,4.34,2.69
318,1.01,Premium,G,VS2,62.1,54.0,6.5,6.36,3.99
319,1.5,Very Good,F,SI1,63.4,60.0,7.2,7.27,4.59
320,1.09,Very Good,G,VS1,62.5,59.0,6.56,6.59,4.11
321,0.58,Ideal,F,VS1,61.9,54.0,5.37,5.33,3.31
322,1.3,Premium,I,IF,61.8,58.0,7.0,6.95,4.31
323,0.3,Very Good,D,VS1,63.5,55.0,4.24,4.29,2.71
324,0.67,Good,F,VS1,59.8,60.3,5.62,5.69,3.38
325,0.32,Premium,E,SI1,62.3,58.0,4.37,4.4,2.73
326,0.93,Ideal,H,SI1,62.4,55.0,6.2,6.24,3.88
327,1.02,Good,H,SI2,58.6,64.0,6.32,6.26,3.68
328,0.92,Ideal,F,SI2,61.5,53.0,6.26,6.3,3.86
329,2.1,Premium,I,SI1,61.5,59.0,8.28,8.24,5.08
330,0.7,Very Good,I,SI2,60.9,59.0,5.7,5.76,3.49
331,0.39,Premium,G,VS1,62.7,58.0,4.69,4.63,2.92
332,2.45,Very Good,H,SI2,63.5,58.0,8.7,8.58,5.49
333,0.72,Good,F,VS2,64.1,64.0,5.66,5.6,3.61
334,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71
335,1.03,Good,D,SI1,57.7,62.0,6.63,6.65,3.83
336,1.0,Premium,G,SI1,60.2,59.0,6.5,6.39,3.88
337,0.41,Premium,D,VS1,60.6,59.0,4.84,4.8,2.92
338,0.9,Ideal,J,SI1,62.7,56.0,6.21,6.16,3.88
339,0.3,Very Good,G,VS1,62.9,57.0,4.28,4.31,2.7
340,2.0,Very Good,G,SI2,63.5,57.0,7.91,7.86,4.99
341,0.26,Ideal,F,VVS2,62.5,56.0,4.12,4.1,2.57
342,2.01,Premium,H,SI2,62.0,60.0,8.11,8.04,5.02
343,1.23,Ideal,G,VS1,62.0,57.0,6.83,6.87,4.25
344,0.5,Ideal,G,SI2,60.7,56.0,5.13,5.18,3.13
345,0.9,Premium,F,SI2,61.1,54.0,6.29,6.27,3.84
346,1.02,Very Good,G,VS1,62.6,58.0,6.36,6.46,4.01
347,2.1,Ideal,I,SI1,61.6,57.0,8.24,8.15,5.05
348,1.24,Ideal,H,VS1,61.0,57.0,6.91,6.95,4.23
349,0.41,Ideal,G,VS2,61.4,55.0,4.75,4.8,2.93
350,0.35,Ideal,E,VS2,63.5,54.0,4.48,4.43,2.83
351,0.85,Fair,G,I1,62.7,60.0,6.05,5.96,3.77
352,0.42,Ideal,G,VVS1,60.0,57.0,4.84,4.86,2.91
353,0.36,Very Good,G,VVS1,62.8,57.0,4.52,4.55,2.85
354,0.25,Very Good,E,VVS2,61.7,57.0,4.08,4.12,2.53
355,1.12,Ideal,H,SI1,60.9,57.0,6.7,6.73,4.09
356,1.09,Ideal,E,SI2,61.9,55.0,6.64,6.6,4.1
357,1.56,Very Good,I,VS2,59.7,60.0,7.53,7.58,4.51
358,3.01,Premium,G,SI2,59.8,58.0,9.44,9.37,5.62
359,0.32,Very Good,H,VVS1,62.9,57.0,4.33,4.38,2.74
360,0.42,Premium,D,VS1,60.8,60.0,4.87,4.84,2.95
361,0.73,Very Good,I,VS2,62.2,57.0,5.75,5.76,3.58
362,0.26,Premium,E,VS1,60.1,60.0,4.1,4.15,2.48
363,0.51,Ideal,G,SI2,60.6,57.0,5.17,5.2,3.14
364,1.01,Premium,H,VS2,62.6,60.0,6.39,6.36,3.99
365,0.32,Ideal,G,IF,61.8,55.0,4.41,4.43,2.73
366,0.7,Ideal,G,VVS1,62.6,57.0,5.65,5.7,3.55
367,0.9,Ideal,D,SI1,62.6,55.0,6.1,6.16,3.84
368,0.71,Fair,F,SI1,62.6,57.0,5.73,5.68,3.57
369,0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15
370,0.81,Premium,F,SI1,61.6,58.0,5.96,5.92,3.66
371,0.51,Ideal,H,IF,62.3,54.0,5.14,5.17,3.21
372,0.31,Fair,E,VS2,55.9,62.0,4.6,4.56,2.56
373,0.35,Premium,E,VS1,60.8,58.0,4.55,4.58,2.78
374,0.31,Very Good,I,VS2,61.6,56.0,4.36,4.39,2.69
375,1.51,Premium,I,VS2,60.5,59.0,7.44,7.41,4.49
376,0.25,Ideal,F,VS1,61.1,58.0,4.04,4.08,2.48
377,0.9,Premium,F,SI1,63.0,60.0,6.13,6.09,3.85
378,0.32,Good,E,SI1,62.5,61.0,4.32,4.35,2.71
379,0.35,Ideal,E,VS1,61.6,57.0,4.53,4.5,2.78
